Date,Closing_Price
2023-03-24,42.71
2023-03-27,43.09
2023-03-28,43.03
2023-03-29,43.66
2023-03-30,43.61
2023-03-31,44.08
2023-04-03,44.06
2023-04-04,43.9
2023-04-05,43.89
2023-04-06,43.45
2023-04-10,43.53
2023-04-11,43.53
2023-04-12,41.8
2023-04-13,40.9
2023-04-14,39.49
2023-04-17,39.52
2023-04-18,40.2
2023-04-19,40.28
2023-04-20,40.28
2023-04-21,39.82
2023-04-24,39.91
2023-04-25,39.64
2023-04-26,40.15
2023-04-27,41.7
2023-04-28,42.18
2023-05-01,41.57
2023-05-02,40.17
2023-05-03,39.44
2023-05-04,38.87
2023-05-05,39.35
2023-05-08,39.84
2023-05-09,40.47
2023-05-10,41.18
2023-05-11,41.76
2023-05-12,41.57
2023-05-15,41.89
2023-05-16,40.81
2023-05-17,42.04
2023-05-18,42.99
2023-05-19,43.17
2023-05-22,43.23
2023-05-23,43.41
2023-05-24,43.41
2023-05-25,42.49
2023-05-26,42.84
2023-05-30,42.61
2023-05-31,43.04
2023-06-01,43.1
2023-06-02,43.5
2023-06-05,41.97
2023-06-06,40.8
2023-06-07,41.39
2023-06-08,41.15
2023-06-09,41.44
2023-06-12,41.8
2023-06-13,42.18
2023-06-14,41.71
2023-06-15,41.11
2023-06-16,40.32
2023-06-20,40.07
2023-06-21,40.27
2023-06-22,39.78
2023-06-23,38.85
2023-06-26,39.24
2023-06-27,39.36
2023-06-28,38.74
2023-06-29,38.85
2023-06-30,38.83
2023-07-03,38.86
2023-07-05,38.67
2023-07-06,38.52
2023-07-07,38.12
2023-07-10,37.84
2023-07-11,37.06
2023-07-12,36.77
2023-07-13,36.67
2023-07-14,36.43
2023-07-17,36.33
2023-07-18,36.33
2023-07-19,36.14
2023-07-20,35.62
2023-07-21,34.83
2023-07-24,34.9
2023-07-25,35.82
2023-07-26,37.3
2023-07-27,37.4
2023-07-28,37.43
2023-07-31,37.84
2023-08-01,37.69
2023-08-02,36.61
2023-08-03,40.02
2023-08-04,40.86
2023-08-07,39.37
2023-08-08,37.88
2023-08-09,37.64
2023-08-10,37.48
2023-08-11,38.18
2023-08-14,38.22
2023-08-15,37.84
2023-08-16,38.56
2023-08-17,37.74
2023-08-18,38.59
2023-08-21,38.55
2023-08-22,38.47
2023-08-23,38.33
2023-08-24,38.31
2023-08-25,38.18
2023-08-28,38.17
2023-08-29,38.47
2023-08-30,38.81
2023-08-31,38.9
2023-09-01,39.63
2023-09-05,39.22
2023-09-06,39.04
2023-09-07,39.06
2023-09-08,38.76
2023-09-11,38.78
2023-09-12,38.57
2023-09-13,38.6
2023-09-14,38.67
2023-09-15,38.41
2023-09-18,38.62
2023-09-19,38.63
2023-09-20,38.75
2023-09-21,38.74
2023-09-22,39.09
2023-09-25,39.14
2023-09-26,38.16
2023-09-27,37.45
2023-09-28,36.27
2023-09-29,36.21
2023-10-02,36.17
2023-10-03,35.96
2023-10-04,35.96
2023-10-05,35.65
2023-10-06,35.78
2023-10-09,36.16
2023-10-10,36.01
2023-10-11,35.78
2023-10-12,34.95
2023-10-13,34.08
2023-10-16,34.76
2023-10-17,35.04
2023-10-18,34.72
2023-10-19,34.63
2023-10-20,34.33
2023-10-23,34.3
2023-10-24,34.69
2023-10-25,34.25
2023-10-26,34.02
2023-10-27,33.69
2023-10-30,33.66
2023-10-31,34.74
2023-11-01,36.71
2023-11-02,36.21
2023-11-03,37.43
2023-11-06,37.43
2023-11-07,37.58
2023-11-08,36.95
2023-11-09,36.45
2023-11-10,36.86
2023-11-13,36.55
2023-11-14,38.28
2023-11-15,38.13
2023-11-16,36.61
2023-11-17,37.49
2023-11-20,38.02
2023-11-21,37.4
2023-11-22,38.65
2023-11-24,38.48
2023-11-27,38.28
2023-11-28,38.39
2023-11-29,37.9
2023-11-30,38.38
2023-12-01,38.38
2023-12-04,38.64
2023-12-05,38.95
2023-12-06,38.07
2023-12-07,38.26
2023-12-08,38.8
2023-12-11,38.88
2023-12-12,37.92
2023-12-13,38.45
2023-12-14,38.4
2023-12-15,38.24
2023-12-18,37.6
2023-12-19,38.45
2023-12-20,37.15
2023-12-21,37.85
2023-12-22,37.63
2023-12-26,38.31
2023-12-27,38.27
2023-12-28,39.02
2023-12-29,39.25
2024-01-02,38.95
2024-01-03,37.71
2024-01-04,36.75
2024-01-05,36.85
2024-01-08,38.08
2024-01-09,37.3
2024-01-10,37.68
2024-01-11,38.64
2024-01-12,38.55
2024-01-16,38.75
2024-01-17,38.3
2024-01-18,38.66
2024-01-19,38.95
2024-01-22,38.79
2024-01-23,38.58
2024-01-24,38.69
2024-01-25,38.81
2024-01-26,39.3
2024-01-29,39.46
2024-01-30,40.38
2024-01-31,40.2
2024-02-01,40.26
2024-02-02,40.37
2024-02-05,39.8
2024-02-06,40.51
2024-02-07,40.99
2024-02-08,40.96
2024-02-09,41.38
2024-02-12,42.08
2024-02-13,41.3
2024-02-14,40.76
2024-02-15,41.21
2024-02-16,41.9
2024-02-20,40.03
2024-02-21,39.25
2024-02-22,39.21
2024-02-23,38.69
2024-02-26,39.16
2024-02-27,39.81
2024-02-28,39.39
2024-02-29,40.21
2024-03-01,41.83
2024-03-04,42.18
2024-03-05,41.53
2024-03-06,42.43
2024-03-07,42.8
2024-03-08,42.16
2024-03-11,42.09
2024-03-12,42.07
2024-03-13,42.81
2024-03-14,42.59
2024-03-15,42.71
2024-03-18,42.58
2024-03-19,41.94
2024-03-20,42.04
2024-03-21,41.58
2024-03-22,41.09
2024-03-25,40.81
